customerName,email,phone,birthDay,serialNumber,registrationDate,lastUpdateDate,shareWithResearchAsOfDate,shareWithPublicAsOfDate,shareWithFriendsAsOfDate
Santosh Clayton,Santosh.Clayton@test.com,8015551212,1900-01-01,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,1655564376361,1655564376361,1655564376361.0,1655564376361.0,1655564376361.0
Ben Khatib,Ben.Khatib@test.com,8015551212,1399-01-01,20400202-c1da-4328-8e94-5bacc7d61ecb,1655564414415,1655564414415,1655564414415.0,,1655564414415.0
Jane Gonzalez,Jane.Gonzalez@test.com,8015551212,1141-01-01,2b6fe805-9059-4e1b-b7ed-720f5b4bf10c,1655564433612,1655564433612,1655564433612.0,,1655564433612.0
Jaya Jackson,Jaya.Jackson@test.com,8015551212,1098-01-01,220437fd-77f5-463a-8d93-f59c944e60d4,1655564436700,1655564436700,1655564436700.0,,
Jerry Jefferson,Jerry.Jefferson@test.com,8015551212,1964-01-01,f1ad9449-f80b-4dcb-8fab-66352e929322,1655564085333,1655564085333,1655564085333.0,,1655564085333.0
Senthil Smith,Senthil.Smith@test.com,8015551212,1587-01-01,dbfde3b7-69bf-4c56-a9e8-dfd48af6df89,1655564400490,1655564400490,1655564400490.0,,
Santosh Davis,Santosh.Davis@test.com,8015551212,1745-01-01,b5f6b144-0260-4c4f-83e1-469150f9055b,1655564388124,1655564388124,1655564388124.0,,
Sarah Doshi,Sarah.Doshi@test.com,8015551212,1126-01-01,466bb1b9-5dc3-4607-8f76-e0bcdcf6b9c7,1655564145362,1655564145362,1655564145362.0,,
Ben Phillips,Ben.Phillips@test.com,8015551212,1404-01-01,314ed64d-643f-4cd3-b164-f4a8ae02fc29,1655564125690,1655564125690,1655564125690.0,,1655564125690.0
David Mitra,David.Mitra@test.com,8015551212,1201-01-01,ba582015-fbb3-4842-887a-e291f773df84,1655564429221,1655564429221,1655564429221.0,,
Christina Mitra,Christina.Mitra@test.com,8015551212,1160-01-01,7414a106-ee97-4824-ab25-70bedeae1136,1655564432243,1655564432243,1655564432243.0,1655564432243.0,
Liz Aristotle,Liz.Aristotle@test.com,8015551212,1033-01-01,cf977dd3-df90-492a-b05d-15fd3898a45b,1655564152526,1655564152526,1655564152526.0,1655564152526.0,
Danny Abram,Danny.Abram@test.com,8015551212,1272-01-01,dd97b03a-77a5-4fb2-8b9e-74b977a56a20,1655564423887,1655564423887,1655564423887.0,,1655564423887.0
Jane Davis,Jane.Davis@test.com,8015551212,1328-01-01,be3627ff-145c-48b6-9d22-01e9aae21360,1655564131086,1655564131086,1655564131086.0,1655564131086.0,
Frank Jones,Frank.Jones@test.com,8015551212,1858-01-01,e67098ce-d1ce-4320-9e3e-5674125eb236,1655564379578,1655564379578,1655564379578.0,1655564379578.0,1655564379578.0
Spencer Ahmed,Spencer.Ahmed@test.com,8015551212,1580-01-01,873149be-2df1-405f-8d82-00b47a6e1706,1655564113280,1655564113280,1655564113280.0,1655564113280.0,1655564113280.0
Jacob Mitra,Jacob.Mitra@test.com,8015551212,1323-01-01,48dacf93-6b04-4fd5-bd97-5c6a03774c47,1655563967132,1655563967132,1655563967132.0,,
Jaya Spencer,Jaya.Spencer@test.com,8015551212,1824-01-01,284e046f-4faf-445e-a9ad-be5f31e79023,1655564095826,1655564095826,1655564095826.0,,1655564095826.0
Santosh Lincoln,Santosh.Lincoln@test.com,8015551212,1634-01-01,7c858602-1e85-4f20-a953-308099c550ca,1655564396896,1655564396896,1655564396896.0,,1655564396896.0
Travis Jones,Travis.Jones@test.com,8015551212,1445-01-01,0eaa2e1b-1f09-4035-b1a1-1e00882f1c1e,1655564411039,1655564411039,1655564411039.0,1655564411039.0,1655564411039.0
Christina Clayton,Christina.Clayton@test.com,8015551212,1080-01-01,b54391f7-fa80-4020-9474-16fc31510205,1655564437991,1655564437991,1655564437991.0,,1655564437991.0
Bobby Anandh,Bobby.Anandh@test.com,8015551212,1201-01-01,7338120b-8667-42d7-97dc-ec569b361d83,1655563975289,1655563975289,1655563975289.0,1655563975289.0,
Jacob Davis,Jacob.Davis@test.com,8015551212,1289-01-01,de5eb3c3-0c41-41f4-b2d3-1ced6c233327,1655564422659,1655564422659,1655564422659.0,,1655564422659.0
Senthil Sanchez,Senthil.Sanchez@test.com,8015551212,1283-01-01,a723b40e-1a4b-44e6-8cb9-24cc24827465,1655564423093,1655564423093,1655564423093.0,,
Senthil Lincoln,Senthil.Lincoln@test.com,8015551212,1653-01-01,561df6cf-0504-4b77-9d72-0435295a37d5,1655564395389,1655564395389,1655564395389.0,,1655564395389.0
Liz Sanchez,Liz.Sanchez@test.com,8015551212,1752-01-01,7a820ed7-6e36-4033-9659-b68e51896899,1655564100897,1655564100897,1655564100897.0,,
